 258,EBS 만점마무리 봉투모의고사 과학탐구영역 생명과학1 5회분(2022)(2023 수능대비),EBS교육방송 편집부,5，400
 259,EBS 만점마무리 봉투모의고사 사회탐구영역 사회 문화 5회분(2022)(2023 수능대비),EBS교육방송 편집부,5，400
 260,비상식적 성공 법칙,간다 마사노리 외,15，300
 261,개념원리 고등 수학(상)(2022),이홍섭,16，200
 262,EBS 수능완성 국어영역 독서·문학·언어와 매체(2022)(2023 수능대비),EBS교육방송 편집부,9，630
 263,EBS 수능특강 한국사영역 한국사(2022)(2023 수능대비),EBS교육방송 편집부,6，660
 264,EBS 수능특강 영어영역 영어독해연습(2022)(2023 수능대비),EBS교육방송 편집부,8，280
 265,EBS 수능특강 국어영역 독서(2022)(2023 수능대비),EBS교육방송 편집부,8，190
 266,EBS 수능특강 국어영역 언어와 매체(2022)(2023 수능대비),EBS교육방송 편집부,6，660
 267,마더텅 수능기출 모의고사 30회 영어 영역(2022)(2023 수능대비),마더텅 편집부,16，110
 268,헤맨다고 모두 길을 잃는 것은 아니다,김달,13，950
 269,IB를 말한다,이혜정 외,15，300
 270,알사탕,백희나,10，800
 271,EBS 50일 고등 수학(하)(2022),EBS 편집부,6，750
 272,스틱,칩 히스 외,13，500
 273,그 여름의 끝,이성복,10，800
 274,EBS 수능특강 수학영역 수학2(2022)(2023 수능대비),EBS교육방송 편집부,5，040
 275,왼손에게,한지원 외,12，600
 276,유럽 도시 기행 1,유시민,14，850
 277,쎈 초등 수학 5-2(2022),홍범준 외,14，850
 278,순례 주택,유은실,11，700
 279,우리가 빛의 속도로 갈 수 없다면,김초엽,12，600
 280,2022 하반기 All-New SKCT SK그룹 온라인 최신기출유형+모의고사 5회+무료SK특강,SD적성검사연구소,15，400
 281,하얼빈,김훈,11，200
 286,벌거벗은 한국사: 사건편,tvN STORY 〈벌거벗은 한국사〉 제작팀,16，920
 287,게이머즈(2022년 10월호),게임문화 편집부,13，110
 288,운명을 바꾸는 부동산 투자 수업(11만 부 기념 바이블 에디션),부동산읽어주는남자(정태익),27，000
 289,어린이를 위한 역사의 쓸모 2: 고려 시대 - 조선 전기,최태성 외,13，500
 290,중학영문법 3800제 2학년(2023),마더텅 편집부,13，410
 291,이상한 과자 가게 전천당 15,히로시마 레이코 외,11，700
 292,2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서,에듀윌 취업연구소,20，700
 293,너무 잘하려고 애쓰지 마라,나태주,12，600
 294,오십의 주역공부,김동완,16，200
 295,운명을 바꾸는 부동산 투자 수업: 기초편,정태익,15，120
 296,부의 인문학(20만부 기념 개정증보판),우석,15，300
 297,개념+유형 기초탄탄 라이트 중등 수학 1-2(2022),비상교육 편집부,16，200
 298,윤혜정의 개념의 나비효과 수능국어개념(2022)(2023 수능대비),EBS교육방송 편집부,14，400
 299,해커스 보카(Hackers Vocabulary),David Cho,15，210
 300,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1， 2， 3급)(상),최태성,13，500
 301,세계를 건너 너에게 갈게,이꽃님,10，350
 302,오늘 밤， 세계에서 이 사랑이 사라진다 해도,이치조 미사키 외,12，600
 303,미드나잇 라이브러리(1주년 스페셜 에디션),매트 헤이그 외,14，220
 304,마음이 흐르는 대로,지나영,14，400
 305,나는 독일인입니다,노라 크루크 외,19，800
 306,칵테일， 러브， 좀비 (리커버),조예은,9，000
 307,경매 권리분석 이렇게 쉬웠어?,박희철(파이팅팔콘) 외,16，200
 308,오은영의 화해,오은영,14，400
 309,ETS 토익 기출 VOCA 출제기관 공식수험서,ETS,11，610
 310,뿌리깊은 초등국어 독해력 1단계(초등 1-2학년 대상),마더텅 편집부,8，910
 311,신경 청소 혁명,구도 치아키 외,12，600
 312,지리의 힘,팀 마샬 외,15，300
 313,삐뽀삐뽀 119 소아과,하정훈 외,26，820
 314,서울대 한국어 4B Student's Book,서울대학교 언어교육원,22，000
 315,대한민국을 위한 에세이 : 반듯한 나라， 행복한 가정,김동철,17，000
 316,지정학의 힘,김동기,16，200
 317,친일파 열전,박시백 외,14，400
 318,불순한 스캔들. 2(완결),리버 진,3，400
 319,돼지책,앤서니 브라운 외,9，900
 320,P4U 사영리 (적색/연두색),한국대학생선교회,180
 321,데이톨로지,김성태,16，650
 322,해커스 국민건강보험공단 NCS+법률 봉투모의고사 5+4회,해커스 취업교육연구소,13，410
 323,EBS 당신의 문해력,김윤정,15，300
 324,능률 VOCA 어원편,NE능률 영어교육연구소,13，500
 325,마음세탁소,황웅근,13，500
 326,교보문고 시그니처 독서대(월넛),교보문고,58，500
 327,식사만 바꿔도 젊어집니다,마키타 젠지 외,11，500
 328,불편한 편의점,김호연,9，800
 330,스위티， 스위티， 스위티(Sweetie， Sweetie， Sweetie). 1,담적단,3，300
 335,오늘도 쓰담쓰담,임윤정 외,13，950
 336,커픽처스 커피 레시피 101,김현석,18，000
 337,위대한 과학 고전 30권을 1권으로 읽는 책,김성근,16，020
 338,비탈릭 부테린 지분증명,비탈릭 부테린 외,19，800
